time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-11T17:13:16.581Z,53.7778,-165.199,102.256,2.7,ml,20,224,0.497,0.38,us,us6000leyf,2023-10-13T15:00:56.040Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,12.28,18.476,0.115,10,reviewed,us,us
2023-10-11T16:39:41.979Z,-24.9266,179.789,511.03,4.3,mb,25,94,4.777,0.51,us,us6000levf,2023-10-11T17:56:15.040Z,"south of the Fiji Islands",earthquake,10.58,9.254,0.129,17,reviewed,us,us
2023-10-11T16:23:46.186Z,-58.2868,-15.7494,10,4.9,mb,23,87,12.183,0.82,us,us6000levb,2023-10-11T23:08:53.040Z,"east of the South Sandwich Islands",earthquake,6.27,1.867,0.125,20,reviewed,us,us
2023-10-11T15:35:45.660Z,34.072,-118.1051667,10.18,2.71,ml,111,24,0.02539,0.18,ci,ci40581104,2023-10-12T23:48:42.253Z,"2 km ENE of Monterey Park, CA",earthquake,0.13,0.22,0.172,22,reviewed,ci,ci
2023-10-11T14:48:55.005Z,38.1815,-117.7594,10.3,2.7,ml,13,67.57,0.112,0.1449,nn,nn00867144,2023-10-13T16:22:42.040Z,"38 km SE of Mina, Nevada",earthquake,,1.2,0.37,9,reviewed,nn,nn
2023-10-11T13:53:41.542Z,53.1342,-166.7974,22.5,4.2,ml,,,,0.57,ak,ak023d1won2f,2023-10-12T00:30:36.866Z,"",earthquake,,1.6,,,reviewed,ak,ak
2023-10-11T13:10:19.730Z,19.34,-155.3065,3.66,2.72,ml,46,53,,0.12,hv,hv73604977,2023-10-11T22:33:42.330Z,"13 km SW of Volcano, Hawaii",earthquake,0.23,0.47,0.172863858862617,35,reviewed,hv,hv
2023-10-11T13:03:22.980Z,61.8159,-149.7005,35.1,2.7,ml,,,,0.26,ak,ak023d1wdw16,2023-10-11T13:04:31.778Z,"19 km ENE of Willow, Alaska",earthquake,,5.5,,,automatic,ak,ak
2023-10-11T12:10:34.530Z,35.6626666666667,-89.6853333333333,12.01,2.86,md,70,71,0.2266,0.16,nm,nm60555026,2023-10-12T17:38:08.929Z,"10 km W of Henning, Tennessee",earthquake,0.26,0.65,0.0623870403658886,59,reviewed,nm,nm
2023-10-11T10:39:33.043Z,11.511,-87.1678,42.762,4.2,mb,33,144,1.085,0.62,us,us6000leqt,2023-10-11T10:57:40.040Z,"77 km WSW of Masachapa, Nicaragua",earthquake,7.12,12.263,0.121,19,reviewed,us,us
